ncalls,tottime,percall,cumtime,percall,filename:lineno(function)
11,0.000,0.000,0.000,0.000,<frozen importlib._bootstrap>:35(_new_module)
17,0.000,0.000,0.000,0.000,<frozen importlib._bootstrap>:58(__init__)
27,0.000,0.000,0.000,0.000,<frozen importlib._bootstrap>:87(acquire)
27,0.000,0.000,0.000,0.000,<frozen importlib._bootstrap>:112(release)
17,0.000,0.000,0.000,0.000,<frozen importlib._bootstrap>:152(__init__)
17,0.000,0.000,0.000,0.000,<frozen importlib._bootstrap>:156(__enter__)
17,0.000,0.000,0.000,0.000,<frozen importlib._bootstrap>:160(__exit__)
17,0.000,0.000,0.000,0.000,<frozen importlib._bootstrap>:185(cb)
27,0.000,0.000,0.000,0.000,<frozen importlib._bootstrap>:166(_get_module_lock)
10,0.000,0.000,0.000,0.000,<frozen importlib._bootstrap>:203(_lock_unlock_module)
27/7,0.000,0.000,0.023,0.003,<frozen importlib._bootstrap>:220(_call_with_frames_removed)
388,0.000,0.000,0.000,0.000,<frozen importlib._bootstrap>:231(_verbose_message)
17,0.000,0.000,0.000,0.000,<frozen importlib._bootstrap>:351(__init__)
27,0.000,0.000,0.000,0.000,<frozen importlib._bootstrap>:385(cached)
32,0.000,0.000,0.000,0.000,<frozen importlib._bootstrap>:398(parent)
16,0.000,0.000,0.000,0.000,<frozen importlib._bootstrap>:406(has_location)
75,0.000,0.000,0.000,0.000,<frozen importlib._bootstrap_external>:64(_relax_case)
16,0.000,0.000,0.000,0.000,<frozen importlib._bootstrap>:486(_init_module_attrs)
16,0.000,0.000,0.012,0.001,<frozen importlib._bootstrap>:558(module_from_spec)
16/5,0.000,0.000,0.024,0.005,<frozen importlib._bootstrap>:659(_load_unlocked)
17,0.000,0.000,0.000,0.000,<frozen importlib._bootstrap>:736(find_spec)
17,0.000,0.000,0.000,0.000,<frozen importlib._bootstrap>:811(find_spec)
52,0.000,0.000,0.000,0.000,<frozen importlib._bootstrap>:874(__enter__)
52,0.000,0.000,0.000,0.000,<frozen importlib._bootstrap>:878(__exit__)
33,0.000,0.000,0.000,0.000,<frozen importlib._bootstrap_external>:79(_unpack_uint32)
17,0.000,0.000,0.003,0.000,<frozen importlib._bootstrap>:901(_find_spec)
1,0.000,0.000,0.000,0.000,<frozen importlib._bootstrap>:948(_sanity_check)
17/6,0.000,0.000,0.026,0.004,<frozen importlib._bootstrap>:967(_find_and_load_unlocked)
17/6,0.000,0.000,0.026,0.004,<frozen importlib._bootstrap>:1002(_find_and_load)
1,0.000,0.000,0.000,0.000,<frozen importlib._bootstrap>:1018(_gcd_import)
15/7,0.000,0.000,0.013,0.002,<frozen importlib._bootstrap>:1033(_handle_fromlist)
1,0.000,0.000,0.000,0.000,<frozen zipimport>:63(__init__)
367,0.000,0.000,0.000,0.000,<frozen importlib._bootstrap_external>:123(<listcomp>)
367,0.000,0.000,0.001,0.000,<frozen importlib._bootstrap_external>:121(_path_join)
44,0.000,0.000,0.000,0.000,<frozen importlib._bootstrap_external>:129(<genexpr>)
22,0.000,0.000,0.000,0.000,<frozen importlib._bootstrap_external>:127(_path_split)
107,0.000,0.000,0.002,0.000,<frozen importlib._bootstrap_external>:135(_path_stat)
20,0.000,0.000,0.000,0.000,<frozen importlib._bootstrap_external>:145(_path_is_mode_type)
19,0.000,0.000,0.000,0.000,<frozen importlib._bootstrap_external>:154(_path_isfile)
1,0.000,0.000,0.000,0.000,<frozen importlib._bootstrap_external>:159(_path_isdir)
28,0.000,0.000,0.000,0.000,<frozen importlib._bootstrap_external>:175(_path_isabs)
22,0.000,0.000,0.000,0.000,<frozen importlib._bootstrap_external>:361(cache_from_source)
16,0.000,0.000,0.000,0.000,<frozen importlib._bootstrap_external>:491(_get_cached)
11,0.000,0.000,0.000,0.000,<frozen importlib._bootstrap_external>:523(_check_name_wrapper)
11,0.000,0.000,0.000,0.000,<frozen importlib._bootstrap_external>:560(_classify_pyc)
11,0.000,0.000,0.000,0.000,<frozen importlib._bootstrap_external>:593(_validate_timestamp_pyc)
11,0.000,0.000,0.001,0.000,<frozen importlib._bootstrap_external>:645(_compile_bytecode)
16,0.000,0.000,0.000,0.000,<frozen importlib._bootstrap_external>:696(spec_from_file_location)
11,0.000,0.000,0.000,0.000,<frozen importlib._bootstrap_external>:841(create_module)
11/3,0.000,0.000,0.019,0.006,<frozen importlib._bootstrap_external>:844(exec_module)
11,0.000,0.000,0.005,0.000,<frozen importlib._bootstrap_external>:916(get_code)
11,0.000,0.000,0.000,0.000,<frozen importlib._bootstrap_external>:1006(__init__)
11,0.000,0.000,0.000,0.000,<frozen importlib._bootstrap_external>:1031(get_filename)
11,0.000,0.000,0.004,0.000,<frozen importlib._bootstrap_external>:1036(get_data)
11,0.000,0.000,0.000,0.000,<frozen importlib._bootstrap_external>:1077(path_stats)
5,0.000,0.000,0.000,0.000,<frozen importlib._bootstrap_external>:1155(__init__)
5,0.000,0.000,0.012,0.002,<frozen importlib._bootstrap_external>:1171(create_module)
5,0.000,0.000,0.000,0.000,<frozen importlib._bootstrap_external>:1179(exec_module)
1,0.000,0.000,0.000,0.000,<frozen importlib._bootstrap_external>:1324(_path_hooks)
85,0.000,0.000,0.000,0.000,<frozen importlib._bootstrap_external>:1337(_path_importer_cache)
17,0.000,0.000,0.003,0.000,<frozen importlib._bootstrap_external>:1374(_get_spec)
17,0.000,0.000,0.003,0.000,<frozen importlib._bootstrap_external>:1406(find_spec)
8,0.000,0.000,0.000,0.000,<frozen importlib._bootstrap_external>:1472(<genexpr>)
1,0.000,0.000,0.000,0.000,<frozen importlib._bootstrap_external>:1466(__init__)
16,0.000,0.000,0.000,0.000,<frozen importlib._bootstrap_external>:1500(_get_spec)
75,0.001,0.000,0.003,0.000,<frozen importlib._bootstrap_external>:1505(find_spec)
1,0.000,0.000,0.000,0.000,<frozen importlib._bootstrap_external>:1585(<setcomp>)
1,0.000,0.000,0.000,0.000,<frozen importlib._bootstrap_external>:1556(_fill_cache)
1,0.000,0.000,0.000,0.000,<frozen importlib._bootstrap_external>:1597(path_hook_for_FileFinder)
1,0.000,0.000,0.000,0.000,codecs.py:260(__init__)
1,0.000,0.000,0.000,0.000,codecs.py:309(__init__)
3,0.000,0.000,0.000,0.000,codecs.py:319(decode)
3,0.000,0.000,0.000,0.000,codecs.py:331(getstate)
2,0.000,0.000,0.000,0.000,abc.py:105(__new__)
